epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421425893,2018-10-24T18.50.25.893,21.352,-0.002048000,-0.002048000,-0.000916313
1540421425992,2018-10-24T18.50.25.992,21.451,-0.002048000,-0.002048000,-0.000913625
1540421426092,2018-10-24T18.50.26.092,21.551,-0.002048000,-0.002048000,-0.000921250
1540421426192,2018-10-24T18.50.26.192,21.651,-0.002048000,-0.002048000,-0.000920938
1540421426291,2018-10-24T18.50.26.291,21.750,-0.002048000,-0.002048000,-0.000910937
1540421426389,2018-10-24T18.50.26.389,21.848,-0.002048000,-0.002048000,-0.000908875
1540421426489,2018-10-24T18.50.26.489,21.948,-0.002048000,-0.002048000,-0.000907312
1540421426589,2018-10-24T18.50.26.589,22.048,-0.002048000,-0.002048000,-0.000904062
1540421426688,2018-10-24T18.50.26.688,22.147,-0.002048000,-0.002048000,-0.000898312
1540421426788,2018-10-24T18.50.26.788,22.247,-0.002048000,-0.002048000,-0.000896688
1540421426886,2018-10-24T18.50.26.886,22.345,-0.002048000,-0.002048000,-0.000893313
1540421426986,2018-10-24T18.50.26.986,22.445,-0.002048000,-0.002048000,-0.000895813
1540421427085,2018-10-24T18.50.27.085,22.544,-0.002048000,-0.002048000,-0.000899688
1540421427185,2018-10-24T18.50.27.185,22.644,-0.002048000,-0.002048000,-0.000898312
1540421427284,2018-10-24T18.50.27.284,22.743,-0.002048000,-0.002048000,-0.000895813
1540421427383,2018-10-24T18.50.27.383,22.842,-0.002048000,-0.002048000,-0.000895500
1540421427482,2018-10-24T18.50.27.482,22.941,-0.002048000,-0.002048000,-0.000896375
1540421427582,2018-10-24T18.50.27.582,23.041,-0.002048000,-0.002048000,-0.000894813
1540421427681,2018-10-24T18.50.27.681,23.140,-0.002048000,-0.002048000,-0.000895563
1540421427780,2018-10-24T18.50.27.780,23.239,-0.002048000,-0.002048000,-0.000896187
1540421427879,2018-10-24T18.50.27.879,23.338,-0.002048000,-0.002048000,-0.000898312
1540421427979,2018-10-24T18.50.27.979,23.438,-0.002048000,-0.002048000,-0.000908625
1540421428078,2018-10-24T18.50.28.078,23.537,-0.002048000,-0.002048000,-0.000929000
1540421428178,2018-10-24T18.50.28.178,23.637,-0.002048000,-0.002048000,-0.000941875
1540421428276,2018-10-24T18.50.28.276,23.735,-0.002048000,-0.002048000,-0.000960062
1540421428376,2018-10-24T18.50.28.376,23.835,-0.002048000,-0.002048000,-0.000981750
1540421428475,2018-10-24T18.50.28.475,23.934,-0.002048000,-0.002048000,-0.000996125
1540421428575,2018-10-24T18.50.28.575,24.034,-0.002048000,-0.002048000,-0.001003062
1540421428675,2018-10-24T18.50.28.675,24.134,-0.002048000,-0.002048000,-0.001011125
1540421428773,2018-10-24T18.50.28.773,24.232,-0.002048000,-0.002048000,-0.001015687
1540421428872,2018-10-24T18.50.28.872,24.331,-0.002048000,-0.002048000,-0.001024937
1540421428972,2018-10-24T18.50.28.972,24.431,-0.002048000,-0.002048000,-0.001040250
1540421429072,2018-10-24T18.50.29.072,24.531,-0.002048000,-0.002048000,-0.001042938
1540421429171,2018-10-24T18.50.29.171,24.630,-0.002048000,-0.002048000,-0.001004937
1540421429269,2018-10-24T18.50.29.269,24.728,-0.002048000,-0.002048000,-0.000972313
1540421429369,2018-10-24T18.50.29.369,24.828,-0.002048000,-0.002048000,-0.000958750
1540421429469,2018-10-24T18.50.29.469,24.928,-0.002048000,-0.002048000,-0.000950500
1540421429568,2018-10-24T18.50.29.568,25.027,-0.002048000,-0.002048000,-0.000938375
1540421429666,2018-10-24T18.50.29.666,25.125,-0.002048000,-0.002048000,-0.000918625
1540421429766,2018-10-24T18.50.29.766,25.225,-0.002048000,-0.002048000,-0.000910937
1540421429865,2018-10-24T18.50.29.865,25.324,-0.002048000,-0.002048000,-0.000902063
1540421429965,2018-10-24T18.50.29.965,25.424,-0.002048000,-0.002048000,-0.000897500
1540421430065,2018-10-24T18.50.30.065,25.524,-0.002048000,-0.002048000,-0.000899812
1540421430163,2018-10-24T18.50.30.163,25.622,-0.002048000,-0.002048000,-0.000897688
1540421430262,2018-10-24T18.50.30.262,25.721,-0.002048000,-0.002048000,-0.000896688
1540421430362,2018-10-24T18.50.30.362,25.821,-0.002048000,-0.002048000,-0.000894000
1540421430462,2018-10-24T18.50.30.462,25.921,-0.002048000,-0.002048000,-0.000891000
1540421430561,2018-10-24T18.50.30.561,26.020,-0.002048000,-0.002048000,-0.000889812
1540421430659,2018-10-24T18.50.30.659,26.118,-0.002048000,-0.002048000,-0.000891375
1540421430759,2018-10-24T18.50.30.759,26.218,-0.002048000,-0.002048000,-0.000892750
1540421430859,2018-10-24T18.50.30.859,26.318,-0.002048000,-0.002048000,-0.000897500
1540421430958,2018-10-24T18.50.30.958,26.417,-0.002048000,-0.002048000,-0.000900000
1540421431058,2018-10-24T18.50.31.058,26.517,-0.002048000,-0.002048000,-0.000901750
1540421431156,2018-10-24T18.50.31.156,26.615,-0.002048000,-0.002048000,-0.000905188
1540421431256,2018-10-24T18.50.31.256,26.715,-0.002048000,-0.002048000,-0.000904375
1540421431355,2018-10-24T18.50.31.355,26.814,-0.002048000,-0.002048000,-0.000899188
1540421431455,2018-10-24T18.50.31.455,26.914,-0.002048000,-0.002048000,-0.000897875
1540421431554,2018-10-24T18.50.31.554,27.013,-0.002048000,-0.002048000,-0.000893625
1540421431653,2018-10-24T18.50.31.653,27.112,-0.002048000,-0.002048000,-0.000889062
1540421431752,2018-10-24T18.50.31.752,27.211,-0.002048000,-0.002048000,-0.000890812
1540421431852,2018-10-24T18.50.31.852,27.311,-0.002048000,-0.002048000,-0.000896688
1540421431951,2018-10-24T18.50.31.951,27.410,-0.002048000,-0.002048000,-0.000902125
1540421432051,2018-10-24T18.50.32.051,27.510,-0.002048000,-0.002048000,-0.000909625
1540421432149,2018-10-24T18.50.32.149,27.608,-0.002048000,-0.002048000,-0.000915937
1540421432249,2018-10-24T18.50.32.249,27.708,-0.002048000,-0.002048000,-0.000917500
1540421432348,2018-10-24T18.50.32.348,27.807,-0.002048000,-0.002048000,-0.000915563
1540421432448,2018-10-24T18.50.32.448,27.907,-0.002048000,-0.002048000,-0.000905562
1540421432548,2018-10-24T18.50.32.548,28.007,-0.002048000,-0.002048000,-0.000894437
1540421432646,2018-10-24T18.50.32.646,28.105,-0.002048000,-0.002048000,-0.000886000
1540421432745,2018-10-24T18.50.32.745,28.204,-0.002048000,-0.002048000,-0.000885063
1540421432845,2018-10-24T18.50.32.845,28.304,-0.002048000,-0.002048000,-0.000887500
1540421432945,2018-10-24T18.50.32.945,28.404,-0.002048000,-0.002048000,-0.000890625
1540421433044,2018-10-24T18.50.33.044,28.503,-0.002048000,-0.002048000,-0.000891000
